SERIAL_NUMBER,USE_TIME,FAIL
X1000_20220602_86,2022-07-10 11:09:03,0.0
X1000_20220602_2,2022-07-22 13:05:40,0.0
X1000_20220602_22,2022-08-21 12:50:11,0.0
X1000_20220602_27,2022-07-19 10:54:38,0.0
X1000_20220602_74,2022-08-17 18:15:16,0.0
X1000_20220602_30,2022-08-20 12:38:10,0.0
X1000_20220602_72,2022-07-12 10:52:42,0.0
X1000_20220602_28,2022-08-09 11:30:57,0.0
X1000_20220602_50,,
X1000_20220602_18,2022-08-23 11:02:43,0.0
X1000_20220602_8,2022-07-18 13:30:21,0.0
X1000_20220602_17,2022-08-19 10:53:27,0.0
X1000_20220602_13,2022-07-18 10:01:42,0.0
X1000_20220602_85,2022-07-20 10:03:24,0.0
X1000_20220602_69,2022-08-10 11:36:16,0.0
0000000000000000,2000-01-01 12:00:00,1.0
X1000_20220602_36,2022-08-05 15:49:15,0.0
X1000_20220602_83,2022-08-22 13:19:31,0.0
X1000_20220602_87,2022-07-27 12:49:49,1.0
X1000_20220602_14,2022-08-12 09:34:01,0.0
X1000_20220603_18,2022-06-24 11:32:18,0.0
X1000_20220603_26,2022-07-18 10:55:12,0.0
X1000_20220603_14,2022-07-16 13:47:59,0.0
X1000_20220603_67,2022-08-13 09:39:45,0.0
X1000_20220603_60,2022-08-02 17:02:52,0.0
X1000_20220603_30,2022-08-12 15:59:25,1.0
X1000_20220603_33,2022-07-22 10:53:35,0.0
X1000_20220603_68,2022-07-19 13:55:15,0.0
X1000_20220603_45,2022-08-10 18:57:17,0.0
X1000_20220603_53,2022-08-30 19:18:50,1.0
X1000_20220603_6,2022-09-01 12:50:13,0.0
X1000_20220603_31,2022-07-25 08:50:01,0.0
X1000_20220603_85,2022-08-23 10:08:56,0.0
X1000_20220603_48,2022-07-27 18:33:40,0.0
X1000_20220603_32,2022-07-05 14:48:47,0.0
X1000_20220603_56,2022-07-18 13:37:01,0.0
X1000_20220603_75,2022-08-11 14:48:07,0.0
X1000_20220603_9,2022-07-29 15:00:45,0.0
X1000_20220603_73,2022-07-04 08:34:17,0.0
X1000_20220603_70,2022-07-30 08:00:14,0.0
X1000_20220603_89,2022-07-11 18:27:49,0.0
X1000_20220603_2,2022-08-18 10:55:14,0.0
X1000_20220603_64,2022-06-24 16:27:41,0.0
X1000_20220603_94,2022-08-09 12:07:43,0.0
X1000_20220603_25,2022-08-09 15:14:57,0.0
X1000_20220603_72,2022-08-02 16:32:20,0.0
X1000_20220603_19,2022-07-27 19:54:28,0.0
X1000_20220603_36,2022-08-14 09:32:55,0.0
X1000_20220603_12,2022-08-26 08:46:57,0.0
X1000_20220603_65,2022-08-31 15:29:14,0.0
X1000_20220603_74,2022-06-24 11:10:32,0.0
X1000_20220603_43,2022-08-06 13:01:44,0.0
X1000_20220603_21,2022-08-07 16:38:44,1.0
X1000_20220603_57,2022-08-10 18:39:03,0.0
X1000_20220603_39,2022-07-08 15:48:50,0.0
X1000_20220603_76,2022-08-07 14:54:42,0.0
X1000_20220603_59,2022-08-12 09:02:22,0.0
X1000_20220603_10,2022-07-17 12:15:09,0.0
X1000_20220603_5,2022-08-21 16:39:16,0.0
X1000_20220603_38,2022-07-30 11:15:28,0.0
X1000_20220603_80,2022-08-21 16:58:26,0.0
X1000_20220603_13,,
X1000_20220603_44,2022-08-03 18:33:48,0.0
X1000_20220603_34,2022-08-25 14:57:54,0.0
X1000_20220603_90,2022-06-27 15:35:25,0.0
X1000_20220603_49,2022-08-10 14:33:35,0.0
X1000_20220603_41,2022-08-15 19:06:50,0.0
X1000_20220603_7,2022-08-18 11:37:43,0.0
X1000_20220603_16,2022-07-10 17:04:05,0.0
X1000_20220603_93,2022-08-05 19:18:07,0.0
X1000_20220603_47,2022-07-28 08:49:15,0.0
X1000_20220603_81,2022-07-16 18:43:30,0.0
,,
X1000_20220603_87,2022-08-03 13:05:08,0.0
X1000_20220603_23,2022-07-26 11:42:57,0.0
X1000_20220603_24,2022-08-06 14:27:03,0.0
X1000_20220603_42,2022-08-31 19:08:58,0.0
X1000_20220603_78,2022-08-16 09:02:31,0.0
X1000_20220603_11,2022-08-24 08:12:14,1.0
X1000_20220603_52,2022-08-20 17:38:01,0.0
X1000_20220603_4,2022-08-08 13:37:46,0.0
X1000_20220603_62,2022-07-28 14:59:50,0.0
X1000_20220603_61,2022-06-30 12:59:10,0.0
X1000_20220603_91,2022-08-06 09:42:32,0.0
,,
X1000_20220603_83,2022-08-06 12:09:14,0.0
X1000_20220603_28,2022-07-27 10:28:53,0.0
X1000_20220603_3,2022-08-03 18:52:53,0.0
X1000_20220603_40,2022-07-31 14:19:02,0.0
X1000_20220603_92,2022-08-25 17:18:03,0.0
X1000_20220603_71,2022-08-05 17:01:18,0.0
,,
,,
X1000_20220603_22,2022-07-14 19:40:33,0.0
X1000_20220603_54,2022-07-07 16:10:54,0.0
X1000_20220603_84,2022-08-04 10:11:34,0.0
X1000_20220603_66,2022-09-13 10:58:53,0.0
X1000_20220603_77,2022-09-01 11:02:58,0.0
X1000_20220604_72,2022-08-10 14:40:04,0.0
X1000_20220604_75,2022-07-25 16:50:34,1.0
X1000_20220604_62,2022-08-31 14:49:43,0.0
0000000000000000,2000-01-01 12:00:00,1.0
X1000_20220604_74,2022-08-31 15:46:24,0.0
X1000_20220604_35,2022-08-13 12:00:06,0.0
X1000_20220604_45,2022-08-23 14:35:39,0.0
X1000_20220604_11,2022-08-09 19:11:41,0.0
X1000_20220604_79,2022-07-19 14:50:46,0.0
X1000_20220604_27,2022-07-22 08:28:23,0.0
X1000_20220604_42,2022-07-07 09:49:49,0.0
X1000_20220604_15,2022-08-17 17:14:58,0.0
X1000_20220604_40,2022-07-28 19:14:37,0.0
X1000_20220604_36,2022-08-19 17:24:40,0.0
0000000000000000,2000-01-01 12:00:00,1.0
X1000_20220604_5,2022-06-25 08:28:50,0.0
X1000_20220604_31,2022-07-16 15:30:07,0.0
X1000_20220604_53,2022-07-30 12:41:49,0.0
X1000_20220604_9,2022-07-11 17:20:07,0.0
X1000_20220604_57,2022-08-06 09:09:50,1.0
X1000_20220604_6,2022-07-17 14:59:24,0.0
X1000_20220604_84,2022-07-26 13:21:49,0.0
X1000_20220604_82,2022-08-03 18:03:28,0.0
X1000_20220604_25,2022-08-11 12:38:06,0.0
X1000_20220604_51,2022-08-07 13:18:11,0.0
X1000_20220604_46,2022-06-25 13:40:37,0.0
X1000_20220604_1,,
X1000_20220604_49,2022-08-12 16:52:29,0.0
X1000_20220604_37,2022-07-25 17:38:26,0.0
,,
X1000_20220604_44,2022-08-03 10:18:06,0.0
X1000_20220604_73,2022-08-01 12:15:01,0.0
X1000_20220604_70,2022-08-25 17:17:12,0.0
X1000_20220604_21,2022-08-18 14:36:59,0.0
X1000_20220604_47,2022-08-19 09:37:46,0.0
X1000_20220604_63,2022-08-04 19:47:08,0.0
X1000_20220604_41,2022-07-17 15:11:19,0.0
X1000_20220604_7,2022-07-27 17:35:24,0.0
X1000_20220604_20,2022-08-26 14:14:11,0.0
X1000_20220604_10,2022-08-03 11:37:52,1.0
X1000_20220604_65,2022-08-06 14:08:28,0.0
X1000_20220604_43,2022-08-07 18:26:08,0.0
X1000_20220604_64,2022-08-02 14:49:54,0.0
X1000_20220604_81,2022-08-23 09:49:24,0.0
X1000_20220604_32,2022-07-21 12:41:02,0.0
X1000_20220604_33,2022-07-08 10:28:37,0.0
X1000_20220604_80,2022-08-04 10:29:05,0.0
X1000_20220604_61,2022-08-21 08:42:38,0.0
X1000_20220604_76,2022-08-09 16:28:37,0.0
X1000_20220604_69,2022-07-26 13:41:00,0.0
X1000_20220604_83,2022-08-15 17:03:52,0.0
X1000_20220604_19,2022-08-06 14:36:01,1.0
X1000_20220604_8,2022-08-21 11:26:45,0.0
X1000_20220604_24,2022-08-06 16:55:31,0.0
X1000_20220604_12,2022-09-06 11:35:10,0.0
X1000_20220604_29,2022-07-03 12:56:39,1.0
X1000_20220604_39,2022-08-07 15:08:05,0.0
X1000_20220604_50,2022-08-10 17:47:00,0.0
X1000_20220604_68,2022-08-15 17:35:58,0.0
X1000_20220604_54,2022-07-30 14:41:23,0.0
X1000_20220604_30,2022-07-26 16:48:50,0.0
X1000_20220604_60,2022-07-31 18:44:05,0.0
,,
X1000_20220604_71,2022-07-23 10:31:50,0.0
X1000_20220604_26,2022-07-26 14:47:49,0.0
X1000_20220604_66,2022-08-21 11:34:46,0.0
X1000_20220604_23,2022-07-30 10:52:13,0.0
X1000_20220604_67,2022-07-18 14:25:00,0.0
X1000_20220604_58,2022-07-20 09:15:07,0.0
X1000_20220604_78,2022-08-08 19:59:31,0.0
,,
X1000_20220604_4,2022-08-03 11:16:58,0.0
X1000_20220605_78,2022-07-22 09:08:21,0.0
X1000_20220605_77,2022-09-09 08:26:52,0.0
X1000_20220605_4,2022-07-13 12:12:25,0.0
X1000_20220605_92,2022-08-14 15:02:33,0.0
X1000_20220605_48,2022-07-14 10:30:49,0.0
X1000_20220605_16,2022-08-20 19:49:51,0.0
X1000_20220605_53,2022-08-01 18:00:29,0.0
,,
X1000_20220605_75,2022-08-09 17:20:39,0.0
X1000_20220605_12,2022-08-23 09:33:02,0.0
X1000_20220605_23,2022-08-06 12:36:37,0.0
X1000_20220605_42,2022-09-05 14:15:47,0.0
X1000_20220605_89,2022-08-03 13:52:11,0.0
X1000_20220605_58,2022-08-18 10:26:19,0.0
X1000_20220605_8,,
X1000_20220605_72,2022-07-30 17:58:02,0.0
X1000_20220605_47,2022-08-09 17:25:05,0.0
X1000_20220605_1,2022-09-04 11:56:05,0.0
X1000_20220605_62,2022-08-16 15:36:47,0.0
X1000_20220605_45,2022-07-25 10:30:51,0.0
X1000_20220605_60,2022-07-05 13:18:11,0.0
X1000_20220605_57,2022-07-21 14:21:43,0.0
X1000_20220605_65,2022-07-25 12:40:52,0.0
X1000_20220605_46,2022-08-03 08:48:05,0.0
X1000_20220605_32,2022-07-29 16:46:54,0.0
,,
X1000_20220605_55,2022-08-16 08:02:58,0.0
X1000_20220605_9,2022-08-11 13:30:40,0.0
X1000_20220605_33,2022-07-25 08:28:30,0.0
X1000_20220605_5,2022-07-21 14:42:51,0.0
X1000_20220605_35,2022-07-29 19:53:44,0.0
X1000_20220605_34,2022-07-23 14:19:23,0.0
X1000_20220605_73,2022-07-26 12:43:48,0.0
X1000_20220605_87,2022-09-16 13:14:32,0.0
X1000_20220605_85,2022-08-28 15:46:39,0.0
X1000_20220605_84,2022-08-15 16:55:56,0.0
X1000_20220605_66,2022-08-19 11:18:20,0.0
X1000_20220605_52,2022-08-12 15:37:01,0.0
X1000_20220605_11,2022-08-17 18:19:54,0.0
X1000_20220605_64,2022-07-28 15:28:13,0.0
X1000_20220605_76,2022-08-03 19:01:14,0.0
X1000_20220605_56,2022-08-06 09:39:42,0.0
X1000_20220605_6,2022-08-04 08:32:05,0.0
X1000_20220605_61,2022-08-01 09:45:10,0.0
X1000_20220605_80,2022-08-14 11:38:09,0.0
X1000_20220605_59,2022-07-22 13:52:44,0.0
X1000_20220605_39,2022-07-14 17:31:15,0.0
X1000_20220605_44,2022-09-10 12:20:41,0.0
X1000_20220605_25,2022-08-03 19:12:20,0.0
X1000_20220605_29,2022-08-11 15:12:45,0.0
X1000_20220605_19,2022-08-13 18:46:39,0.0
X1000_20220605_28,2022-07-12 12:52:49,0.0
X1000_20220605_86,2022-07-19 14:26:45,0.0
X1000_20220605_37,2022-07-30 13:04:39,1.0
X1000_20220605_71,2022-08-14 09:12:27,1.0
X1000_20220605_54,2022-08-09 09:59:10,0.0
X1000_20220605_15,2022-08-04 11:09:07,0.0
X1000_20220605_70,2022-08-14 11:54:49,0.0
X1000_20220605_83,2022-07-23 17:32:08,0.0
X1000_20220605_17,2022-08-14 18:41:07,0.0
X1000_20220605_91,2022-07-03 11:12:16,0.0
X1000_20220605_43,2022-07-22 11:21:17,0.0
X1000_20220605_22,2022-07-17 14:59:45,0.0
X1000_20220605_93,,
X1000_20220605_36,2022-08-16 08:36:34,1.0
X1000_20220605_7,2022-08-10 08:17:49,0.0
X1000_20220605_67,2022-07-29 12:14:46,0.0
X1000_20220605_68,2022-09-04 17:29:10,0.0
X1000_20220605_24,2022-08-13 12:57:14,1.0
X1000_20220605_40,2022-07-30 11:17:44,0.0
X1000_20220605_50,,
X1000_20220605_21,2022-07-20 16:34:29,0.0
X1000_20220605_2,2022-07-31 12:58:34,0.0
X1000_20220605_90,2022-07-05 19:34:00,0.0
X1000_20220606_64,2022-08-17 08:26:29,0.0
X1000_20220606_23,2022-09-09 14:12:01,0.0
X1000_20220606_8,2022-07-19 08:37:17,0.0
X1000_20220606_10,2022-08-01 17:50:21,0.0
X1000_20220606_84,2022-08-03 15:30:13,0.0
X1000_20220606_80,2022-08-22 13:08:03,0.0
X1000_20220606_71,2022-09-05 12:46:45,0.0
X1000_20220606_44,2022-07-30 13:46:56,0.0
X1000_20220606_55,2022-07-05 17:05:55,0.0
X1000_20220606_48,2022-07-31 14:48:50,0.0
X1000_20220606_34,2022-08-12 10:21:53,0.0
X1000_20220606_47,2022-08-27 15:54:13,0.0
X1000_20220606_14,2022-07-06 19:51:13,0.0
X1000_20220606_79,2022-09-08 09:00:00,1.0
X1000_20220606_42,2022-07-19 10:07:00,0.0
X1000_20220606_1,2022-06-28 08:25:51,0.0
X1000_20220606_36,2022-08-27 15:28:13,0.0
X1000_20220606_59,2022-07-19 10:37:12,0.0
X1000_20220606_25,2022-08-02 16:51:23,0.0
X1000_20220606_11,2022-08-30 10:48:40,0.0
X1000_20220606_38,2022-08-10 12:57:37,0.0
X1000_20220606_85,2022-07-16 12:49:14,0.0
X1000_20220606_3,2022-07-31 08:09:51,0.0
X1000_20220606_81,2022-09-18 18:42:07,0.0
X1000_20220606_17,2022-06-29 18:06:55,0.0
X1000_20220606_45,2022-09-10 19:56:45,0.0
X1000_20220606_56,2022-08-10 08:26:55,0.0
X1000_20220606_54,2022-07-30 09:06:11,0.0
X1000_20220606_67,2022-08-17 10:12:49,0.0
X1000_20220606_73,2022-08-16 19:07:43,0.0
X1000_20220606_12,2022-08-16 13:39:40,0.0
X1000_20220606_61,2022-07-20 10:31:37,0.0
X1000_20220606_31,2022-08-11 18:06:09,0.0
X1000_20220606_78,2022-07-28 14:11:58,0.0
X1000_20220606_26,2022-07-14 11:13:04,0.0
X1000_20220606_49,2022-08-14 18:44:35,0.0
X1000_20220606_19,2022-07-19 11:28:17,0.0
X1000_20220606_35,2022-07-26 17:39:56,0.0
X1000_20220606_57,2022-06-27 15:06:28,0.0
X1000_20220606_2,2022-08-21 13:05:56,0.0
X1000_20220606_69,2022-08-03 17:05:32,0.0
X1000_20220606_7,2022-07-14 09:25:47,0.0
X1000_20220606_43,2022-07-22 13:42:52,0.0
X1000_20220606_68,2022-07-31 19:29:08,0.0
X1000_20220606_37,2022-08-02 08:42:13,0.0
X1000_20220606_65,2022-07-30 11:33:08,0.0
X1000_20220606_4,2022-07-19 19:58:09,0.0
X1000_20220606_32,2022-08-03 14:34:43,0.0
X1000_20220606_62,2022-07-28 09:00:47,0.0
X1000_20220606_18,2022-08-19 13:41:35,0.0
X1000_20220606_70,2022-09-09 14:57:44,0.0
X1000_20220606_15,,
X1000_20220606_76,2022-08-09 09:08:12,0.0
X1000_20220606_72,2022-08-02 17:47:36,0.0
X1000_20220606_9,2022-06-27 15:43:19,0.0
X1000_20220606_22,2022-08-21 11:12:37,0.0
X1000_20220606_51,2022-07-24 10:16:44,0.0
X1000_20220606_83,2022-08-29 19:11:50,0.0
X1000_20220606_40,2022-09-04 19:34:05,0.0
X1000_20220606_33,2022-07-14 08:16:17,0.0
X1000_20220606_41,2022-08-11 17:35:25,0.0
X1000_20220606_39,2022-08-05 14:47:01,0.0
X1000_20220606_27,2022-07-07 16:44:49,0.0
X1000_20220606_30,2022-07-18 16:03:00,0.0
X1000_20220606_58,2022-08-11 08:35:00,0.0
X1000_20220606_75,2022-06-27 16:13:26,0.0
X1000_20220606_24,2022-07-21 17:08:00,0.0
X1000_20220606_82,2022-07-20 12:07:44,0.0
X1000_20220607_20,2022-07-30 10:00:10,0.0
X1000_20220607_60,2022-07-31 17:28:35,0.0
X1000_20220607_11,2022-08-22 11:47:32,0.0
X1000_20220607_49,2022-07-23 10:24:49,0.0
X1000_20220607_45,2022-08-30 09:32:48,0.0
X1000_20220607_23,2022-07-21 09:10:03,0.0
X1000_20220607_59,,
X1000_20220607_39,2022-08-10 16:45:47,0.0
X1000_20220607_13,2022-07-30 19:22:29,0.0
X1000_20220607_71,,
X1000_20220607_46,2022-08-20 19:45:32,0.0
X1000_20220607_64,2022-07-14 16:53:29,0.0
X1000_20220607_30,2022-09-07 10:20:57,0.0
X1000_20220607_85,2022-08-16 10:04:34,0.0
X1000_20220607_93,2022-08-16 15:35:12,0.0
X1000_20220607_51,2022-08-03 17:23:06,0.0
X1000_20220607_24,2022-09-06 19:30:54,0.0
X1000_20220607_18,2022-08-28 08:42:00,0.0
X1000_20220607_57,2022-07-05 19:22:37,0.0
X1000_20220607_82,2022-09-07 13:14:21,1.0
X1000_20220607_1,2022-07-25 08:14:31,0.0
X1000_20220607_44,2022-08-08 11:03:35,0.0
X1000_20220607_34,2022-07-02 08:42:15,0.0
X1000_20220607_88,2022-08-05 11:56:19,0.0
X1000_20220607_37,2022-07-20 13:47:01,0.0
X1000_20220607_9,2022-09-02 09:43:59,1.0
X1000_20220607_21,2022-07-17 15:58:12,0.0
X1000_20220607_6,2022-07-21 10:14:23,0.0
X1000_20220607_47,2022-08-29 19:09:12,0.0
X1000_20220607_75,2022-09-06 14:02:42,0.0
X1000_20220607_84,2022-08-18 17:44:58,0.0
X1000_20220607_48,,
X1000_20220607_14,2022-08-01 17:44:13,0.0
X1000_20220607_52,2022-07-26 08:32:24,0.0
X1000_20220607_55,2022-07-28 17:20:32,0.0
X1000_20220607_29,2022-08-28 13:46:38,0.0
X1000_20220607_22,2022-08-18 16:45:52,0.0
X1000_20220607_91,2022-08-16 17:45:50,0.0
X1000_20220607_4,2022-08-06 18:52:15,0.0
X1000_20220607_2,2022-09-11 17:32:52,0.0
X1000_20220607_68,2022-08-07 09:35:23,0.0
X1000_20220607_56,,
X1000_20220607_40,2022-08-13 17:39:35,0.0
X1000_20220607_33,2022-07-30 11:00:40,0.0
X1000_20220607_83,2022-07-11 17:41:02,0.0
X1000_20220607_5,2022-07-13 18:38:44,1.0
X1000_20220607_67,2022-08-19 09:45:57,0.0
X1000_20220607_16,2022-07-26 08:18:55,0.0
X1000_20220607_58,2022-07-05 09:48:24,0.0
X1000_20220607_25,2022-07-16 17:46:44,0.0
X1000_20220607_61,2022-08-03 13:57:34,0.0
,,
X1000_20220607_87,2022-07-30 13:50:17,0.0
X1000_20220607_74,2022-08-19 15:20:03,0.0
X1000_20220607_92,2022-07-31 15:23:46,0.0
X1000_20220607_53,2022-07-07 08:30:40,0.0
X1000_20220607_10,2022-09-01 08:22:14,0.0
X1000_20220607_41,2022-08-11 18:36:34,0.0
X1000_20220607_72,2022-08-08 17:26:27,0.0
X1000_20220607_12,2022-08-20 14:14:02,0.0
X1000_20220607_31,2022-09-17 15:23:44,0.0
X1000_20220607_43,2022-07-20 08:36:08,0.0
X1000_20220607_63,2022-07-06 08:20:39,0.0
X1000_20220607_3,2022-09-12 11:09:52,0.0
X1000_20220607_73,2022-07-28 17:46:44,0.0
X1000_20220607_62,2022-07-10 14:40:48,0.0
X1000_20220607_50,2022-08-02 17:52:38,0.0
X1000_20220607_79,2022-08-10 08:04:05,0.0
0000000000000000,2000-01-01 12:00:00,1.0
X1000_20220607_78,2022-07-29 11:22:14,0.0
X1000_20220607_26,2022-07-20 15:12:18,0.0
X1000_20220607_65,2022-08-15 09:25:03,0.0
X1000_20220607_80,2022-08-02 12:33:16,0.0
X1000_20220608_68,2022-08-13 14:17:14,0.0
X1000_20220608_34,2022-07-12 09:54:44,0.0
X1000_20220608_4,2022-08-01 09:20:46,0.0
X1000_20220608_46,2022-07-20 12:53:14,0.0
X1000_20220608_40,2022-09-02 19:30:18,0.0
X1000_20220608_53,2022-08-03 08:26:25,0.0
X1000_20220608_12,2022-08-20 14:09:28,0.0
X1000_20220608_15,2022-08-21 13:14:28,0.0
X1000_20220608_77,2022-09-11 18:03:03,0.0
X1000_20220608_63,2022-07-15 16:44:03,0.0
X1000_20220608_59,2022-07-04 18:31:06,0.0
X1000_20220608_60,2022-08-26 08:23:50,0.0
X1000_20220608_29,2022-07-23 18:12:22,0.0
X1000_20220608_65,2022-08-11 12:19:12,0.0
0000000000000000,2000-01-01 12:00:00,1.0
X1000_20220608_17,2022-08-08 15:39:15,0.0
X1000_20220608_57,2022-07-31 08:58:31,0.0
X1000_20220608_9,2022-08-06 16:31:16,0.0
X1000_20220608_73,2022-08-22 18:03:31,0.0
X1000_20220608_76,2022-08-06 09:15:00,0.0
X1000_20220608_6,2022-08-01 13:54:18,0.0
,,
X1000_20220608_75,2022-08-05 14:02:12,0.0
X1000_20220608_82,2022-09-16 17:37:21,0.0
X1000_20220608_5,2022-09-03 15:26:06,0.0
X1000_20220608_78,2022-08-31 14:33:40,0.0
X1000_20220608_26,2022-08-11 16:34:59,0.0
X1000_20220608_18,2022-07-31 16:42:49,0.0
X1000_20220608_20,2022-08-13 14:46:14,0.0
X1000_20220608_16,2022-08-21 09:48:03,0.0
X1000_20220608_24,2022-07-25 08:27:23,0.0
X1000_20220608_52,2022-07-27 12:03:13,0.0
X1000_20220608_43,2022-08-02 09:41:48,0.0
X1000_20220608_54,2022-07-28 09:04:37,0.0
X1000_20220608_3,2022-07-24 18:24:12,0.0
